Code item,Description,Qté en main,
Rose06,Rose adulte 6,23,
Rose07,Rose adulte 7,17,
Rose08,Rose adulte 8,26,
Rose09,Rose adulte 9,4,
Rose10,Rose adulte 10,11,
Rose11,Rose adulte 11,9,
RoseEnfant01,Rose enfant pointure 1,9,
RoseEnfant02,Rose enfant pointure 2,-2,
RoseEnfant10,Rose enfant pointure 10,11,
RoseEnfant11,Rose enfant pointure 11,19,
RoseEnfant12,Rose enfant pointure 12,17,
RoseEnfant13,Rose enfant pointure 13,8,
Sasha05,Sasha pointure 5,17,
Sasha06,Sasha pointure 6,45,
Sasha07,Sasha pointure 7,104,
Sasha08,Sasha pointure 8,147,
Sasha09,Sasha pointure 9,123,
Sasha10,Sasha pointure 10,60,
Sasha11,Sasha pointure 11,37,
Savage26,Savage enfant pointure 26,1,
Savage27,Savage enfant pointure 27,4,
Savage28,Savage enfant pointure 28,10,
Savage29,Savage enfant pointure 29,4,
Savage30,Savage enfant pointure 30,3,
Savage31,Savage enfant pointure 31,7,
Savage32,Savage enfant pointure 32,7,
Savage33,Savage enfant pointure 33,6,
Savage34,Savage enfant pointure 34,15,
Savage35,Savage enfant pointure 35,10,
Savage36,Savage enfant pointure 36,5,
Savage37,Savage enfant pointure 37,8,
Savage38,Savage enfant pointure 38,2,
Savage39,Savage enfant pointure 39,1,
Savage40,Savage enfant pointure 40,2,
Savage41,Savage enfant pointure 41,2,
Shadow26,Shadow enfant pointure 26,0,
Shadow27,Shadow enfant pointure 27,0,
Shadow28,Shadow enfant pointure 28,0,
Shadow29,Shadow enfant pointure 29,0,
Shadow30,Shadow enfant pointure 30,-1,
Shadow31,Shadow enfant pointure 31,0,
Shadow32,Shadow enfant pointure 32,0,
Shadow33,Shadow enfant pointure 33,0,
Shadow34,Shadow enfant pointure 34,0,
Shadow35,Shadow enfant pointure 35,0,
Shadow36,Shadow enfant pointure 36,0,
Shadow37,Shadow enfant pointure 37,0,
Tess02,Tess pointure 2,5,
Tess03,Tess pointure 3,5,
Tess04,Tess pointure 4,5,
Tess05,Tess pointure 5,11,
Tess06,Tess pointure 6,8,
Tess07,Tess pointure 7,6,
Tess08,Tess pointure 8,26,
Tess09,Tess pointure 9,6,
Tess10,Tess pointure 10,8,
Tess11,Tess pointure 11,4,
Tom06,Tom pointure 6,66,
Tom07,Tom pointure 7,132,
Tom08,Tom pointure 8,150,
Tom09,Tom pointure 9,197,
Tom10,Tom pointure 10,168,
Tom11,Tom pointure 11,91,
Tom12,Tom pointure 12,25,
Tom13,Tom pointure 13,16,
Zoe02,Zoe adulte pointure 2,0,
Zoe03,Zoe adulte pointure 3,3,
Zoe04,Zoe adulte pointure 4,3,
Zoe05,Zoe adulte pointure 5,13,
Zoe06,Zoe adulte pointure 6,7,
Zoe07,Zoe adulte pointure 7,55,
Zoe08,Zoe adulte pointure 8,54,
Zoe09,Zoe adulte pointure 9,27,
Zoe10,Zoe adulte pointure 10,30,
Zoe11,Zoe adulte pointure 11,8,
ZoeEnfant01,Zoe enfant pointure 1,8,
ZoeEnfant10,Zoe enfant pointure 10,14,
ZoeEnfant11,Zoe enfant pointure 11,13,
ZoeEnfant12,Zoe enfant pointure 12,22,
ZoeEnfant13,Zoe enfant pointure 13,19,
